번호,날짜,주요 작업
1,2026-07-13,고객용 키오스크 프로젝트를 초기화하고 홈·메뉴선택·장바구니·결제·주문완료 5개 화면의 기본 구조와 컴포넌트를 구현함.
2,2026-07-14,"장바구니 비어있음 검증과 결제 API 예외·타임아웃 처리를 추가하고 관리자 파일 정리, menuApi.js 통합, 홈 화면 디자인 작업에 착수함."
3,2026-07-15,메뉴선택·장바구니·결제·주문완료 화면(SCR_002~005)의 디자인을 적용하고 메뉴 품절·빈 목록·빈 장바구니 상황에 대한 안내와 진입 차단 로직을 보완함.
4,2026-07-16,"메뉴 카테고리 사이드 메뉴와 슬라이드 화살표 UI를 추가하고, 총액 계산 로직 중복 제거, 90초 미사용 자동 초기화 및 안내 팝업, 장바구니 수량 표시 등 세부 로직을 정리함."
5,2026-07-20,결제 수단 선택 팝업(네이버페이/카카오페이/카드결제)을 추가하고 장바구니·결제내역 레이아웃과 영수증·주문번호 출력 버튼을 개선함.
6,2026-07-21,"고객용 키오스크를 kiosk-customer 폴더로 분리하고 README·gitignore·node_modules 등 저장소 구조를 정리했으며, 다국어(한/영) 지원과 화면 크기별 자동 스케일을 적용함."
7,2026-07-23,메뉴·장바구니·결제 화면을 백엔드 API와 연동함.
8,2026-07-24,결제 아키텍처 분리에 맞춰 프론트엔드 결제 연동을 재정비함.
9,2026-07-28,"주문 상태에 '결제대기'를 추가하고 결제 오류 유형별 처리 및 자동 재시도를 구현했으며, 미결제 주문 노출 방지와 장바구니 메뉴명 표시, 떡볶이 카드 CSS를 보완함."
10,2026-07-29,장바구니 폰트 크기를 조정하고 네이버페이/카카오페이 QR 결제 모달을 추가함.
11,2026-07-30,옵션 품절 시 카드에 품절 표시와 선택 차단 기능을 추가함.
12,2026-07-31,"결제 처리 중 뒤로가기로 인한 주문 취소를 차단하고, 세트 메뉴 구성품 품절 연동과 그룹 선택형 세트 메뉴 팝업·장바구니 연동을 구현함."
13,2026-08-03,"떡순튀세트 옵션(떡볶이맛/순대구성) 선택 기능과 토스페이 결제(키오스크 내 결제창 직접 호출)를 추가하고, API URL 환경변수화 및 결제수단 UI를 정리함."
14,2026-08-06,"토스/카카오 결제 취소 안내를 개선하고 confirm API 중복 호출을 방지했으며, 떡볶이 단품 맛 선택 기능을 구현함."
15,2026-08-07,고객용 키오스크 자동 테스트를 추가하고 옵션 카드가 3개 이상일 때 슬라이드 가능하도록 UI를 개선함.
