번호,날짜,담당자,구분,주요 작업 및 결과
1,2026-07-13,공동,기획·환경,페이지 구성안과 사용자 화면 흐름을 정리하고 공유 DB 적용 방향 및 Git 저장소 폴더 구조를 확정함.
2,2026-07-13,강민준,관리자 프론트,관리자 React 프로젝트 뼈대를 구성하고 로그인·메뉴·주문·매출 관리 화면의 기본 구조를 작성함.
3,2026-07-13,박유진,고객 프론트,고객 키오스크 React 환경을 구성하고 홈·메뉴·옵션·장바구니·결제·주문 완료 화면과 기본 상태 관리를 구현함.
4,2026-07-14,강민준,관리자 프론트,병합 중 손상된 관리자 코드를 복구하고 주문관리 API를 화면에서 분리했으며 관리자 기능과 디자인을 수정함.
5,2026-07-14,박유진,고객 프론트,빈 장바구니의 주문 버튼을 비활성화하고 결제 API 예외·타임아웃 처리와 홈 화면 구성을 보완함.
6,2026-07-15,강민준,관리자 프론트,Zustand 상태 관리와 관리자 인증을 정비하고 메뉴 필수값·가격 유효성 검사 및 편집 화면을 개선함.
7,2026-07-15,박유진,고객 프론트,메뉴·옵션·장바구니·결제·완료 화면 디자인을 적용하고 품절·조회 실패·빈 주문 안내와 영수증 출력 흐름을 구현함.
8,2026-07-16,강민준,관리자 품질,메뉴·옵션 CRUD와 주문 상태 변경을 화면에 연결하고 저장 후 초기화 처리 및 로그인·CRUD·주문 자동 테스트를 작성함.
9,2026-07-16,박유진,고객 기능,"사이드 카테고리와 슬라이드 탐색, 90초 유휴 경고·초기화, 네트워크 오류 안내, 장바구니 수량 계산을 구현함."
10,2026-07-19,강민준,관리자 프론트,관리자 주요 화면의 기능과 사용자 동선을 점검하고 공통 배치와 스타일을 보완함.
11,2026-07-20,강민준,관리자 대시보드,매출 대시보드 페이지와 API·Store·통계 컴포넌트를 구성하고 관리자 화면 CSS를 1차 정리함.
12,2026-07-20,박유진,고객 결제,장바구니와 결제 내역 배치를 조정하고 네이버페이·카카오페이·카드 결제수단 선택 팝업 및 출력 버튼을 개선함.
13,2026-07-21,공동,저장소 통합,관리자와 고객 프로젝트를 kiosk-admin·kiosk-customer로 분리하고 루트 README·gitignore·병합 구조를 정리함.
14,2026-07-21,강민준,관리자 프론트,관리자 JWT 로그인·토큰 저장·보호 라우팅을 구성하고 메뉴 관리 화면과 CSS 오류를 수정함.
15,2026-07-21,박유진,고객 프론트,홈·메뉴·장바구니·결제·완료 화면에 한영 다국어와 화면 크기별 자동 스케일을 적용함.
16,2026-07-22,공동,백엔드 기반,"Spring Boot 프로젝트 초기 설정과 패키지 재배치, 데이터 접근 구조와 공통 설정의 병합 기반을 마련함."
17,2026-07-22,강민준,관리자 백엔드,관리자 Controller·Service·DTO·예외 처리 패키지를 구성하고 관리자 기능 구현 기반을 정리함.
18,2026-07-22,박유진,고객 백엔드,키오스크 패키지·공용 Entity·Mapper 구조와 DB 연결 설정을 구성하고 프로젝트 실행 설정을 보완함.
19,2026-07-23,강민준,관리자 연동,"관리자 메뉴·옵션·주문 DTO/API, CORS 설정과 최근 변경 이력 저장·조회 기능을 구현하고 프론트에 연결함."
20,2026-07-23,박유진,고객 연동,"메뉴·옵션 한영 조회, 이미지 제공, 주문·결제 API와 MyBatis 매퍼를 구현하고 고객 화면과 실제 연동함."
21,2026-07-24,강민준,관리자 백엔드,메뉴·옵션 이미지 업로드·교체·삭제 처리와 공통 ApiResponse 적용을 시작하고 관련 프론트 API를 수정함.
22,2026-07-24,박유진,주문·결제,"주문과 결제 아키텍처를 분리하고 주문 항목·선택 옵션 생성, 서버 가격 검증, 결제 결과 저장 및 상태 연동을 구현함."
23,2026-07-26,강민준,공통 응답,관리자 API별 성공·실패 응답을 공통 ApiResponse 형식으로 통일하고 프론트 데이터 처리 방식을 맞춤.
24,2026-07-27,강민준,인증·보안,"JWT 로그인과 Spring Security 필터·권한 설정을 연결하고 401/403 응답, 비밀키 환경변수, 교체 이미지 삭제를 정비함."
25,2026-07-28,강민준,관리자 운영,매출 KPI·30일 추이·인기 메뉴 차트와 판매중단 처리를 보완하고 관리자 API 명세를 현행화함.
26,2026-07-28,박유진,결제 안정성,"결제 실패를 유형별로 구분하고 자동 재시도 정책, 미결제 주문 관리자 노출 방지, 고객 화면 영문·이미지 표시를 보완함."
27,2026-07-29,강민준,관리자 주문·품질,"주문별 메뉴·옵션 상세 조회, JWT 환경변수, 백엔드 관리자 자동 테스트와 README 실행 문서를 정리함."
28,2026-07-29,박유진,간편결제,네이버페이·카카오페이 QR 모달과 결제 실패·포기·중복 결제 방지 흐름을 구현하고 Security CORS 연결을 수정함.
29,2026-07-30,강민준,관리자 테스트,관리자 로그인·메뉴·옵션·주문·매출 프론트 테스트를 추가하고 콘솔 오류와 주문 상태 검증 문제를 수정함.
30,2026-07-30,박유진,주문 검증,"옵션 최대 2개, 주문 유형, 품절·판매중단 메뉴 및 옵션에 대한 서버 검증을 추가하고 품절 표시용 응답을 보완함."
31,2026-07-31,공동,세트 메뉴 통합,관리자 세트 구성 기능과 고객 그룹 선택형 세트 주문 기능을 통합하고 Mapper 충돌 및 데이터 명칭을 정리함.
32,2026-07-31,강민준,관리자 세트,"세트 메뉴·구성 메뉴 CRUD, 선택 그룹·최대 선택 수·추가금액 설정 및 구성 조회·저장·검증을 구현함."
33,2026-07-31,박유진,고객 세트·결제,"구성품 품절 시 세트 자동 품절, 그룹 선택형 세트 가격 계산·주문 검증, 결제 중 뒤로가기 차단과 실패 UI를 구현함."
34,2026-08-03,강민준,관리자 고도화,관리자 메뉴관리 컴포넌트를 분리하고 메뉴 유형·세트 추가금액 데이터를 정비했으며 완료 주문 매출 반영과 로그인 5회 제한을 적용함.
35,2026-08-03,박유진,세트·간편결제,떡순튀세트 맛·구성 선택과 Toss Payments 승인 API를 추가하고 토스페이·카카오페이 결제수단을 구분 저장하도록 구현함.
36,2026-08-04,강민준,관리자 UI,"메뉴·옵션·세트 관리 화면의 열 너비, 버튼 위치, 여백과 정렬을 조정함."
37,2026-08-05,강민준,설정·관리 화면,"프론트·백엔드 환경변수 예제를 정비하고 관리자 세트·구성품 가로 배치, 페이지 처리, multipart 업로드 제한을 개선함."
38,2026-08-06,강민준,관리자 알림·세트,신규 주문 배지·지연 경고·전역 토스트 알림을 구현하고 세트 선택 그룹 데이터와 구성 전용 메뉴 필터를 보완함.
39,2026-08-06,박유진,고객 결제·옵션,토스·카카오 결제 취소 안내와 승인 API 중복 호출 방지를 적용하고 떡볶이 단품 맛 선택 기능을 구현함.
40,2026-08-07,강민준,관리자 마무리,관리자 메뉴·옵션 목록의 내부 번호를 숨기고 관련 자동 테스트와 메뉴관리 표시·정렬을 수정함.
41,2026-08-07,박유진,고객 품질,"고객 키오스크 자동 테스트를 추가하고 옵션 카드 3개 이상 가로 슬라이드, 환경변수 예제와 결제 화면 구성을 정리함."
42,2026-08-10,강민준,검증·문서,"관리자 자동 테스트 65건 전체 통과를 확인하고 태블릿 체크리스트와 프로덕션 빌드, 프로젝트 구조도 및 개인·팀 작업일지를 정리함."
43,2026-08-12,박유진,고객 결제·품질,"토스 결제 승인 실패 시 안전한 재시도 처리를 보완하고, 옵션 카드 가로 슬라이드 컴포넌트 자동 테스트와 의존성 정리를 수행함."
44,2026-08-13,강민준,테스트·발표 자료,"관리자 자동 테스트 19개 파일의 목적·검증 범위 주석을 보강하고, 고객 키오스크 Playwright E2E 핵심 주문 흐름 4건 통과를 확인했으며 결과 보고서·발표 PPT 검토에 협력함."
45,2026-08-14,강민준,관리자 주문·환불,"관리자 Playwright E2E를 구성하고 주문 다중 상태 변경·다중 취소, Toss·카카오 주문별 전액 환불 및 이력 저장을 구현·검증했으며 관리자 테스트 69건·E2E 6건·빌드와 백엔드 테스트 통과를 확인함."
46,2026-08-18,강민준,관리자 품질 개선,"실무자 피드백을 반영해 변경 이력·메뉴·옵션·주문 화면의 로딩·빈 목록·오류 재시도와 검색·필터·상태 피드백을 보완하고 자동 로그아웃을 적용함."
47,2026-08-19,강민준,RTOS 관리자·통합,"FreeRTOS POSIX 기반 통합 환경을 구축하고 관리자 JWT 자동 로그인, 주문 감시·지연 감지·재시도·로그와 고객 인쇄 Worker Task 및 동기화 구조를 구성함."
48,2026-08-19,박유진,고객 출력 연동,"주문 완료 화면에서 영수증·주문번호표 출력 요청을 백엔드 print_jobs 흐름과 연결함."
49,2026-08-20,강민준,RTOS 관리자 감시,"메뉴·옵션 카탈로그 변경 감시와 날짜별 이벤트 로그, JWT 만료 자동 재로그인·중복 알림 방지 흐름을 보강하고 관리자 RTOS 회귀 테스트를 확인함."
50,2026-08-20,박유진,RTOS 고객 연동,"고객 키오스크의 RTOS 연동과 주문 완료 이후 실시간 화면 처리 흐름을 보강함."
51,2026-08-21,박유진,RTOS 고객 출력,"고객 키오스크의 영수증·주문표 출력과 프린터 상태 감시를 보강하고, 용지·출력 오류 처리 및 복구 후 재출력 흐름을 RTOS 테스트로 검증함."
52,2026-08-24,공동,RTOS 통합 검증,"관리자 RTOS 5개 파일과 고객 출력 RTOS 7개 파일의 공동 자동 테스트 12건을 모두 통과시켰으며 주문 → 결제 → RTOS 출력 E2E 흐름을 공동 검증함."
53,2026-08-25,공동,RTOS 문서·QA,"RTOS 태스크·IPC·출력 작업 연동 구조를 문서화하고, 프린터 오류 기록·완료 요청 재시도·복구 후 재출력 QA를 추가하여 DevProject Hub 산출물 상태를 최신화함."
